alpha_num,neg_res,non_res
1,100.0,40.909090909090914
2,100.0,76.13636363636364
4,100.0,70.45454545454545
8,100.0,62.5
16,100.0,62.5
32,98.9010989010989,65.9090909090909
64,97.8021978021978,67.04545454545455
128,96.7032967032967,71.5909090909091
256,93.4065934065934,76.13636363636364
512,92.3076923076923,79.54545454545455
1024,87.91208791208791,79.54545454545455
2048,83.51648351648352,80.68181818181817
4096,81.31868131868131,80.68181818181817
8192,81.31868131868131,80.68181818181817
16384,81.31868131868131,80.68181818181817
32768,81.31868131868131,80.68181818181817
65536,81.31868131868131,80.68181818181817
131072,81.31868131868131,80.68181818181817
262144,81.31868131868131,80.68181818181817
524288,81.31868131868131,80.68181818181817
1048576,81.31868131868131,80.68181818181817
2097152,81.31868131868131,80.68181818181817
4194304,81.31868131868131,80.68181818181817
8388608,81.31868131868131,80.68181818181817
16777216,81.31868131868131,80.68181818181817
33554432,81.31868131868131,80.68181818181817
67108864,81.31868131868131,80.68181818181817
134217728,81.31868131868131,80.68181818181817
268435456,81.31868131868131,80.68181818181817
536870912,81.31868131868131,80.68181818181817
1073741824,81.31868131868131,80.68181818181817
2147483648,81.31868131868131,80.68181818181817
4294967296,79.12087912087912,81.81818181818183
8589934592,79.12087912087912,82.95454545454545
